svm_y8_W,svm_y8_T,svm_y6_W,svm_y6_T,svm_y2_W,svm_y2_T,log_y8_W,log_y8_T,log_y6_W,log_y6_T,log_y2_W,log_y2_T,mnb_y8_code_W,mnb_y8_code_T,mnb_y8_functional-inline_W,mnb_y8_functional-inline_T,mnb_y8_functional-method_W,mnb_y8_functional-method_T,mnb_y8_functional-module_W,mnb_y8_functional-module_T,mnb_y8_general_W,mnb_y8_general_T,mnb_y8_notice_W,mnb_y8_notice_T,mnb_y8_todo_W,mnb_y8_todo_T,mnb_y6_code_W,mnb_y6_code_T,mnb_y6_functional_W,mnb_y6_functional_T,mnb_y6_general_W,mnb_y6_general_T,mnb_y6_notice_W,mnb_y6_notice_T,mnb_y6_todo_W,mnb_y6_todo_T,mnb_y2_functional_W,mnb_y2_functional_T,mnb_y2_non-functional_W,mnb_y2_non-functional_T
1.9180113159128334,=,1.9180095146372436,=,1.5594904860353915,program,2.861907843435468,=[,2.6937603181287275,],4.589335973084418,program,-5.540876022281668,*,-5.524339557251752,podataka,-5.226740110174445,broj,-5.241155716578938,da,-5.4254810434800795,-,-5.372873640454102,api,-5.137207333832746,koja,-5.540876022281668,*,-5.518673344852266,od,-5.4254810434800795,-,-5.372873640454102,api,-5.137207333832746,koja,-5.616700102732972,od,-5.501620474929972,2
1.8926987918942142,plt,1.8926990878408638,plt,1.4946884570329222,izvrsite,2.85062804480106,tf,2.664797216175003,=[,4.488785587088763,paznju,-5.618852016412928,plt,-5.53987772887047,po,-5.262734738245003,predmeta,-5.28202988096619,Program,-5.451602959768795,Author,-5.446874658256255,5,-5.232493154767805,iz,-5.618852016412928,plt,-5.658772656054333,sve,-5.451602959768795,Author,-5.446874658256255,5,-5.232493154767805,iz,-5.756474668772259,sve,-5.522313244442902,na
-1.8915093212117309,file,-1.8915083546715223,file,1.49346932947182,jezika,-2.848376339986211,sa,2.649994866523747,tf,4.454117632512372,4.472135954958,-5.696486677425083,j,-5.552808374667949,-,-5.3420686119544145,iz,-5.307979607314305,klasa,-5.477963331587813,cs,-5.575593726647113,!,-5.383023893239024,4,-5.696486677425083,j,-5.682702695082199,li,-5.477963331587813,cs,-5.575593726647113,!,-5.383023893239024,4,-5.780344557155707,li,-5.544939262344105,c
-1.868075453111632,metrike,-1.8680722192204142,metrike,1.4892154015227006,:,-2.837393987784269,modela,-2.6472666376512586,^,4.397558129086781,del-boy,-5.7077152453592666,{,-5.597162230221441,ne,-5.404702708624303,metoda,-5.4839270611923165,je,-5.531856045718204,prirodnih,-5.687693705721291,su,-5.429036567537004,5,-5.7077152453592666,{,-5.72931574801474,podataka,-5.531856045718204,prirodnih,-5.687693705721291,su,-5.429036567537004,5,-5.826836239850935,podataka,-5.696406401854321,sa
-1.836569631826124,startup_stm32f10x_xx,-1.8365682880825986,startup_stm32f10x_xx,1.4803482269775903,4.472135954958,-2.808245995737412,da,2.5844614028523236,',4.3314679602734145,dodato,-5.709824453251157,self,-5.660666053248165,sve,-5.468671096716655,Metoda,-5.515477383819341,predstavlja,-5.531856045718204,jezika,-5.692508165343881,pozvati,-5.453654700648091,treba,-5.709824453251157,self,-5.786965906124459,ne,-5.531856045718204,jezika,-5.692508165343881,pozvati,-5.453654700648091,treba,-5.884328271061358,ne,-5.735082399062977,tabele
-1.803780413599769,treniranje,-1.8037825143049904,treniranje,1.430709369209441,dodato,2.749417269588619,[,2.540274666398489,class,4.324682914464096,izvrsite,-5.796157964482705,SELECT,-5.808366311405225,nije,-5.60751685641011,dohvatanje,-5.541760561230387,Zadatak,-5.5652331789144895,Autor,-5.736199159512135,ovo,-5.548560928414521,SELECT,-5.796157964482705,SELECT,-5.799873359543486,po,-5.5652331789144895,Autor,-5.736199159512135,ovo,-5.548560928414521,SELECT,-5.897199058121418,po,-5.826165023143888,1
-1.7029105393991841,"0,499",-1.702905214869264,"0,499",1.4146897403533087,todo,2.709137850565388,from,2.529448176279931,from,4.319423580169982,jezika,-5.807031167265042,},-5.932539929902033,su,-5.628960037762565,koje,-5.549253164472672,o,-5.607976277727725,Tim,-5.748624119301091,treba,-5.549546586728212,Napisati,-5.807031167265042,},-5.90683729933003,koje,-5.607976277727725,Tim,-5.748624119301091,treba,-5.549546586728212,Napisati,-6.003840282044356,koje,-5.932550395409574,koji
-1.6977927401674728,ZAPOSLENI,-1.6977891239911416,ZAPOSLENI,1.4060024813696446,del-boy,2.645784991030457,\,-2.5086005109840204,sa,4.238615662521517,todo,-5.856935483965563,if,-5.9440800901711,samo,-5.6316983127067495,dodavanje,-5.603762189856073,brojeva,-5.668863294119186,/,-5.762555368417848,"""""",-5.569677301622765,Selektujte,-5.856935483965563,if,-5.967882059389433,funkcija,-5.668863294119186,/,-5.762555368417848,"""""",-5.569677301622765,Selektujte,-6.064684843610192,funkcija,-5.933743824283896,""""
1.6653153658927031,input_size,1.6653178131077124,input_size,-1.4006881919706866,^,2.6373551604789425,),2.4767476615658413,),4.218178643951196,Obratite,-5.876499011376953,2,-6.001795772761977,vrednosti,-5.6464681071917475,sve,-5.622966011501504,Komponenta,-5.68744739676026,StoredProcedure,-5.768111073685715,"""",-5.610143688832763,izvrsite,-5.876499011376953,2,-5.989240797305431,su,-5.68744739676026,StoredProcedure,-5.768111073685715,"""",-5.610143688832763,izvrsite,-6.085970608358339,su,-5.93967174348684,5
-1.6642679003769913,sa,-1.664270849771749,sa,1.3863409230412769,=[,2.5907675767031546,class,2.454003505107179,\,4.209643473277598,koriscenja,-5.883265919662094,>,-6.025230947793114,broja,-5.655057311795038,@return,-5.683992217826616,od,-5.701319938933845,PM,-5.834036238131743,radi,-5.6350996090505,Kreiranje,-5.883265919662094,>,-6.003022574803393,o,-5.701319938933845,PM,-5.834036238131743,radi,-5.6350996090505,Kreiranje,-6.0997044685446795,o,-6.0367617987519715,0
