With default hyperparams
svm_y8columns_weights,svm_y8columns_tokens,svm_y6columns_weights,svm_y6columns_tokens,svm_y2columns_weights,svm_y2columns_tokens,log_y8columns_weights,log_y8columns_tokens,log_y6columns_weights,log_y6columns_tokens,log_y2columns_weights,log_y2columns_tokens,mnb_y8columns_weights,mnb_y8columns_tokens,mnb_y6columns_weights,mnb_y6columns_tokens,mnb_y2columns_weights,mnb_y2columns_tokens
0.3184116216699612,alpha =,0.31841158604535147,= 0.01,0.5374785478218482,Comment 4c,0.5104054057511815,ParserElement.enablePackrat,0.4562445230983397,= ``,0.9667607411577663,this,-7.3579515309204115,&,-7.3579515309204115,&,-6.546237165132757,and
0.3184116216699612,= 0.01,0.31841158604535147,alpha =,0.5374785478218482,4c,0.5078294127700951,),0.4393341120551652,),0.958064299519014,https :,-7.378154238237931,if (,-7.378154238237931,if (,-6.5632347415013275,for
0.3184116216699612,alpha,0.31841158604535147,alpha,0.5365838172336622,ScalarNodeDefinition .,0.48075308359094304,= ``,0.4341886945163069,ifdef,0.9561285812430875,https,-7.4198269346384995,) {,-7.4198269346384995,) {,-6.5632347415013275,}
0.31415591798061765,150,0.31415591727927533,t.Duration >,0.5365838172336622,ScalarNodeDefinition,0.45201089433062397,# ifdef,0.4341886945163069,__linux__,0.9404619336057988,deprecated,-7.463312046578238,< ``,-7.463312046578238,< ``,-6.568965416210313,this
0.31415591798061765,t.Duration >,0.31415591727927533,AND t.Duration,0.5365838172336622,return ScalarNodeDefinition,0.45201089433062397,__linux__,0.4341886945163069,ifdef __linux__,0.9247113986804996,#,-7.463312046578238,0,-7.463312046578238,0,-6.586357158922182,`
0.31415591798061765,> 150,0.31415591727927533,150,0.5321974939613612,deprecated,0.45201089433062397,ifdef,0.4341886945163069,# ifdef,0.9094795785998459,) {,-7.55640246964425,r,-7.55640246964425,r,-6.6100269030080865,`` ''
0.31415591798061765,AND t.Duration,0.31415591727927533,t.Duration,0.5226055188134561,Note,0.45201089433062397,ifdef __linux__,0.43060197703913916,"} ,",0.9085500561977876,Issue,-7.55640246964425,"'' ,",-7.55640246964425,"'' ,",-6.717385421328586,TODO
0.31415591798061765,t.Duration,0.31415591727927533,> 150,0.509665800527308,1a,0.44892313888975033,AND,0.42593634163363275,SERVERNAME,0.9061189586283448,of all,-7.632388376622172,std,-7.632388376622172,std,-6.751286973004268,be
0.31305408218436476,"} ,",0.31305398282084795,"} ,",0.509665800527308,Ignored 1a,0.43553644308458794,"} ,",0.42593634163363275,SERVERNAME IS,0.8944536625509739,example,-7.632388376622172,std :,-7.632388376622172,std :,-6.883833628966251,if
0.3025981315341069,@ SERVERNAME,0.3025980987185147,IS set,0.5094463873910502,no-useless-constructor,0.42672179947736893,DROP,0.42593634163363275,@ SERVERNAME,0.8889649571500796,!,-7.659056623704334,X,-7.659056623704334,X,-6.89970697812254,that
0.3025981315341069,IS set,0.3025980987185147,SERVERNAME,0.5094463873910502,eslint-disable no-useless-constructor,0.42292632701589883,> 150,0.42593634163363275,IS set,0.8866245383047121,IF,-7.686455597892448,") ,",-7.686455597892448,") ,",-6.940528972642796,not
0.3025981315341069,SERVERNAME IS,0.3025980987185147,SERVERNAME IS,0.5094463873910502,eslint-disable,0.42292632701589883,AND t.Duration,0.42039157899820334,AND,0.8790400241007721,name :,-7.714626474859145,; },-7.714626474859145,; },-7.000632896712501,it
0.3025981315341069,SERVERNAME,0.3025980987185147,@ SERVERNAME,0.509446386893591,thx Modernizr,0.42292632701589883,t.Duration >,0.40302771687986066,DROP,0.8676236566424184,http :,-7.743614011732396,r [,-7.743614011732396,r [,-7.045889488300622,-
0.2986430628315221,: int,0.29864269714445735,"int ,",0.509446386893591,thx,0.42292632701589883,t.Duration,0.40222237491140794,> 150,0.8461679046301149,void,-7.804238633548831,int,-7.804238633548831,int,-7.055191880962936,TODO :
0.2986430628315221,"int ,",0.29864269714445735,: int,0.509446386893591,Modernizr,0.4228924868589453,150,0.40222237491140794,t.Duration,0.8396974944820762,ignored,-7.835987331863412,= ``,-7.835987331863412,= ``,-7.055191880962936,) )
